reference,screening,extent,Reason,Additional Reason,Additional remarks
"Arechar, A. A., Allen, J. N. L., berinsky, adam, Cole, R., Epstein, Z., Garimella, K., Gully, A., Lu, J. G., Ross, R. M., Stagnaro, M., Zhang, J., Pennycook, G., & Rand, D. G. (2022). Understanding and Reducing Online Misinformation Across 16 Countries on Six Continents [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/a9frz",full text,fully,criterion_1,,"data already integrated under Arechar, A. A., Allen, J., Berinsky, A. J., Cole, R., Epstein, Z., Garimella, K., Gully, A., Lu, J. G., Ross, R. M., Stagnaro, M. N., Zhang, Y., Pennycook, G., & Rand, D. G. (2023). Understanding and combatting misinformation across 16 countries on six continents. Nature Human Behaviour, 7(9), 1502–1513. https://doi.org/10.1038/s41562-023-01641-6"
"Prike, T., Blackley, P., Swire-Thompson, B., & Ecker, U. K. H. (2023). Examining the replicability of backfire effects after standalone corrections. Cognitive Research: Principles and Implications, 8(1), 39. https://doi.org/10.1186/s41235-023-00492-z",abstract,fully,criterion_2,,"focus on stand alone correction messages, no true news items ratings"
"Collier, J. R., Pillai, R. M., & Fazio, L. K. (2023). Multiple-choice quizzes improve memory for misinformation debunks, but do not reduce belief in misinformation. Cognitive Research: Principles and Implications, 8(1), 37. https://doi.org/10.1186/s41235-023-00488-9",full text,fully,criterion_2,criterion_4.1,"study 1 and 2 focus on fake news; control condition of study 3 would be relevant, but from their data (although otherwise well documented), we can't tear the different experimental conditions apart"
"Aspernäs, J., Erlandsson, A., & Nilsson, A. (2023). Misperceptions in a post-truth world: Effects of subjectivism and cultural relativism on bullshit receptivity and conspiracist ideation. Journal of Research in Personality, 105, 104394. https://doi.org/10.1016/j.jrp.2023.104394",abstract,fully,criterion_2,,do not let participants evaluate news items and focus on misinformation
"Neylan, J., Biddlestone, M., Roozenbeek, J., & van der Linden, S. (2023). How to “inoculate” against multimodal misinformation: A conceptual replication of Roozenbeek and van der Linden (2020). Scientific Reports, 13(1), 18273. https://doi.org/10.1038/s41598-023-43885-2",full text,fully,criterion_2,criterion_5,"focus on misinformation only, and half of the stimuli are made up"
"Coppock, A., Gross, K., Porter, E., Thorson, E., & Wood, T. J. (2023). Conceptual Replication of Four Key Findings about Factual Corrections and Misinformation during the 2020 US Election: Evidence from Panel-Survey Experiments. British Journal of Political Science, 53(4), 1328–1341. https://doi.org/10.1017/S0007123422000631",full text,fully,criterion_2,,focus on misinformation 
"Taurino, A., Colucci, M. H., Bottalico, M., Franco, T. P., Volpe, G., Violante, M., Grattagliano, I., & Laera, D. (2023). To believe or not to believe: Personality, cognitive, and emotional factors involving fake news perceived accuracy. Applied Cognitive Psychology, 37(6), 1444–1454. https://doi.org/10.1002/acp.4136",abstract,fully,criterion_2,,focus on fake news
"Kotz, J., Giese, H., & König, L. M. (2023). How to debunk misinformation? An experimental online study investigating text structures and headline formats. British Journal of Health Psychology, 28(4), 1097–1112. https://doi.org/10.1111/bjhp.12670",abstract,fully,criterion_2,criterion_4.2,focus on misinformation and no neutral control
"Xu, X., Lin, C. A., & Chen, H. (2023). Exploring COVID-19 Vaccine Misinformation Exposure, Beliefs, Fear, and Information Avoidance via the Stimulus–Organism–Response Framework. Science Communication, 45(6), 824–850. https://doi.org/10.1177/10755470231207611",abstract,fully,criterion_2,,focus on misinformation 
"Ospina, J., Orosz, G., & Spencer, S. (2023). The relation between authoritarian leadership and belief in fake news. Scientific Reports, 13(1), 12860. https://doi.org/10.1038/s41598-023-39807-x",abstract,fully,criterion_2,,focus on fake news
"Porter, E., Velez, Y., & Wood, T. J. (2023). Correcting COVID-19 vaccine misinformation in 10 countries. Royal Society Open Science, 10(3), 221097. https://doi.org/10.1098/rsos.221097",full text,fully,criterion_2,,focus on misinformation 
"Mazepus, H., Osmudsen, M., Bang-Petersen, M., Toshkov, D., & Dimitrova, A. (2023). Information battleground: Conflict perceptions motivate the belief in and sharing of misinformation about the adversary. PLOS ONE, 18(3), e0282308. https://doi.org/10.1371/journal.pone.0282308",full text,fully,criterion_2,,focus on misinformation 
"Hruschka, T. M. J., & Appel, M. (2023). Learning about informal fallacies and the detection of fake news: An experimental intervention. PLOS ONE, 18(3), e0283238. https://doi.org/10.1371/journal.pone.0283238",abstract,fully,criterion_4.2,criterion_4.1,no neutral control (only two training interventions) and no relevant summary statistics on accuracy ratings
"Rędzio, A. M., Izydorczak, K., Muniak, P., Kulesza, W., & Doliński, D. (2023). Is the COVID-19 Fake News game good news? Testing whether creating and disseminating fake news about vaccines in a computer game reduces people’s belief in anti-vaccine arguments. Acta Psychologica, 236, 103930. https://doi.org/10.1016/j.actpsy.2023.103930",full text,fully,criterion_5,,"unclear where the news headlines come from, i.e. if they were real or made up by the researchers"
"Velez, Y. R., Porter, E., & Wood, T. J. (2023). Latino-Targeted Misinformation and the Power of Factual Corrections. The Journal of Politics, 85(2), 789–794. https://doi.org/10.1086/722345",abstract,fully,criterion_2,criterion_3,focus on misinformation; not accessible
"Reyna, V. F. (2023). Social media: Why sharing interferes with telling true from false. Science Advances, 9(9), eadg8333. https://doi.org/10.1126/sciadv.adg8333",full text,fully,criterion_1,,short review article with no original data
"Zeng, H.-K., Lo, S.-Y., & Li, S.-C. S. (2023). Credibility of misinformation source moderates the effectiveness of corrective messages on social media. Public Understanding of Science, 09636625231215979. https://doi.org/10.1177/09636625231215979",abstract,fully,criterion_2,,focus on misinformation
"Ecker, U. K. H., Sharkey, C. X. M., & Swire-Thompson, B. (2023). Correcting vaccine misinformation: A failure to replicate familiarity or fear-driven backfire effects. PLOS ONE, 18(4), e0281140. https://doi.org/10.1371/journal.pone.0281140",abstract,fully,criterion_2,,focus on misinformation
"Graham, M. E., Skov, B., Gilson, Z., Heise, C., Fallow, K. M., Mah, E. Y., & Lindsay, D. S. (n.d.). Mixed News about the Bad News Game. Journal of Cognition, 6(1), 58. https://doi.org/10.5334/joc.324",full text,fully,criterion_5,,"unclear where the news headlines come from, i.e. if they were real or made up by the researchers"
"Arrese, Á. (2023). Institutional and non-institutional news trust as predictors of COVID-19 beliefs: Evidence from three European countries. Public Understanding of Science, 09636625231217081. https://doi.org/10.1177/09636625231217081",abstract,fully,criterion_2,,focus on misinformation
"Sádaba, C., Salaverría, R., & Bringué, X. (2023). Overcoming the Age Barrier: Improving Older Adults’ Detection of Political Disinformation With Media Literacy. Media and Communication, 11(4), 113–123. https://doi.org/10.17645/mac.v11i4.7090",full text,fully,criterion_2,,focus on misinformation
"Mauk, M., & Grömping, M. (2024). Online Disinformation Predicts Inaccurate Beliefs About Election Fairness Among Both Winners and Losers. Comparative Political Studies, 57(6), 965–998. https://doi.org/10.1177/00104140231193008",full text,fully,criterion_2,,appear not to have let participants rate news headlines
"Fajardo, M. (2023). Filipino Students’ Competency in Evaluating Digital Media Content Credibility: ‘Beginning’ to ‘Emerging’ Levels. Journal of Media Literacy Education, 15(2), 58–70. https://doi.org/10.23860/JMLE-2023-15-2-5",full text,fully,criterion_4.1,criterion_2,no relevant summary stats and not clear whether actual news items were used
"Sude, D. J., Sharon, G., & Dvir-Gvirsman, S. (2023). True, justified, belief? Partisanship weakens the positive effect of news media literacy on fake news detection. Frontiers in Psychology, 14. https://doi.org/10.3389/fpsyg.2023.1242865",full text,fully,criterion_5,,"while they appear to have taken real news, they randomly matched them with different sources; we therefor do not consider the study"
"Ku, K. Y. L., Fung, T. M. Y., Au, A. C. Y., Choy, A. Y. O., Kajimoto, M., & Song, Y. (2023). Helping young students cope with the threat of fake news: Efficacy of news literacy training for junior-secondary school students in Hong Kong. Educational Studies, 0(0), 1–19. https://doi.org/10.1080/03055698.2023.2296345",full text,fully,criterion_2,criterion_4.1,"weird, they give participants 1 article to read, it's not clear to which extent that article makes true or false claims"
"Casper Ferm, L.-E., & Thaichon, P. (2023). I think, therefore I ignore: A study on disinformation’s credibility perceptions and sharing intentions over social media. Journal of Strategic Marketing, 1–17.",abstract,fully,criterion_2,,focus on disinformation only
"Liu, X., Qi, L., Wang, L., & Metzger, M. J. (2023). Checking the Fact-Checkers: The Role of Source Type, Perceived Credibility, and Individual Differences in Fact-Checking Effectiveness. Communication Research, 00936502231206419. https://doi.org/10.1177/00936502231206419",full text,fully,criterion_4.1,,do not report relevant summary stats for accuracy ratings
"Lee, S. Y., & Seo, Y. (2023). Does Tone of Comments Matter?: Exploring the Role of Uncivil Comments and Political Orientation on Weakening Belief in Fake News and Eliciting Anger. Communication Studies, 74(6), 515–531. https://doi.org/10.1080/10510974.2023.2246210",abstract,fully,criterion_2,,focus on fake news
"Jitsaeng, K. (2023). Analyzing patterns of political news evaluation among university students in Northeast Thailand. Information Development, 02666669231206784. https://doi.org/10.1177/02666669231206784",abstract,fully,criterion_2,,uncleear if they have accuracy ratings on news items
"Hameleers, M., & Meer, T. van der. (2023). With time comes trust? The development of misinformation perceptions related to COVID-19 over a six-month period: Evidence from a five-wave panel survey study in the Netherlands. Communications. https://doi.org/10.1515/commun-2023-0010",full text,fully,criterion_2,,did not let participants rate news items 
"Priedols, M., & Dimdins, G. (2023). Evaluation of misinformation among pro-Ukrainian Latvians – the role of prior attitude, analytical thinking, and emotions. Frontiers in Psychology, 14. https://doi.org/10.3389/fpsyg.2023.1165039",abstract,fully,criterion_2,,focus on misinformation
"Disha, E. P., Halili, A., & Rustemi, A. (2023). Vulnerability to Disinformation in Relation to Political Affiliation in North Macedonia. Media and Communication, 11(2), 42–52. https://doi.org/10.17645/mac.v11i2.6381",abstract,fully,criterion_2,,focus on disinformation
"Numan, H. (2023). Social media: A watchdog or a conspiracy breeder?: COVID-19 disinformation among Iraqi students. Cogent Arts & Humanities. https://www.tandfonline.com/doi/abs/10.1080/23311983.2023.2224601",full text,fully,criterion_2,,"did not let participants rate news items; focus on conspiracy theories, no true news"
"Sarno, D. M., & Black, J. (2023). Who Gets Caught in the Web of Lies?: Understanding Susceptibility to Phishing Emails, Fake News Headlines, and Scam Text Messages. Human Factors, 00187208231173263. https://doi.org/10.1177/00187208231173263",abstract,fully,criterion_3,,not accessible
"Ahn, S., Bergan, D. E., Ma, S., & Carnahan, D. (2023). Estimating the impact of immediate versus delayed corrections on belief accuracy. Communication Monographs, 90(3), 372–392. https://doi.org/10.1080/03637751.2023.2202728",abstract,fully,criterion_2,,focus on misinformation
"Vu, H. T., & Chen, Y. (2023). What Influences Audience Susceptibility to Fake Health News: An Experimental Study Using a Dual Model of Information Processing in Credibility Assessment. Health Communication, 0(0), 1–14. https://doi.org/10.1080/10410236.2023.2206177",abstract,fully,criterion_2,,focus on misinformation
"Schneider, E. J., & Boman, C. D. (2023). Using Message Strategies to Attenuate the Effects of Disinformation on Credibility. Communication Studies, 74(5), 393–411. https://doi.org/10.1080/10510974.2023.2219704",abstract,fully,criterion_2,,focus on disinformation
"Gordon, L. T., & Price, L. (2023). State Mindfulness and Misinformation Susceptibility. Psychological Reports, 00332941231164073. https://doi.org/10.1177/00332941231164073",abstract,fully,criterion_5,criterion_2,not on news but a made up video; focus on misinformation
"Matchanova, A., Woods, S. P., Neighbors, C., Medina, L. D., Podell, K., Beltran-Najera, I., Alex, C., Babicz, M. A., & Thompson, J. L. (2024). Are accuracy discernment and sharing of COVID-19 misinformation associated with older age and lower neurocognitive functioning? Current Psychology, 43(14), 12921–12933. https://doi.org/10.1007/s12144-023-04464-w",full text,fully,criterion_4.1,,no relevant summary statistics and data not available
"Rossini, P., Mont’Alverne, C., & Kalogeropoulos, A. (2023). Explaining beliefs in electoral misinformation in the 2022 Brazilian election: The role of ideology, political trust, social media, and messaging apps. Harvard Kennedy School Misinformation Review, 4(3).",abstract,fully,criterion_2,criterion_3,focus on disinformation; not accessible
"Yan, W., & Pan, Z. (2023). Believing and Sharing False News on Social Media: The Role of News Presentation, Epistemic Motives, and Deliberative Thinking. Media Psychology, 26(6), 743–766. https://doi.org/10.1080/15213269.2023.2208363",abstract,fully,criterion_3,,not accessible
"Schubatzky, T., & Haagen-Schützenhöfer, C. (2023). Inoculating Adolescents Against Climate Change Misinformation. In G. S. Carvalho, A. S. Afonso, & Z. Anastácio (Eds.), Fostering Scientific Citizenship in an Uncertain World: Selected Papers from the ESERA 2021 Conference (pp. 275–292). Springer International Publishing. https://doi.org/10.1007/978-3-031-32225-9_17",abstract,fully,criterion_2,criterion_3,focus on misinformation; not accessible
"Hameleers, M. (2023). This is Clearly Fake! Mis- and Disinformation Beliefs and the (Accurate) Recognition of Pseudo-Information—Evidence From the United States and the Netherlands. American Behavioral Scientist, 00027642231174334. https://doi.org/10.1177/00027642231174334",full text,fully,criterion_5,,made up the false news article
"Bhargava, P., MacDonald, K., Newton, C., Lin, H., & Pennycook, G. (2023). How effective are TikTok misinformation debunking videos? Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-114",full text,fully,criterion_2,,focus on misinformation
"van der Meer, T. G. L. A., Hameleers, M., & Ohme, J. (2023). Can Fighting Misinformation Have a Negative Spillover Effect? How Warnings for the Threat of Misinformation Can Decrease General News Credibility. Journalism Studies, 24(6), 803–823. https://doi.org/10.1080/1461670X.2023.2187652",full text,fully,criterion_2,,"focus on real news articles' accuracy ratings, after using exposure to a fake news article as experimental stimulus (depending on the condition)"
"Wenjuan, L., Zhaotong, Y., Yuhua, D., & Midi, Z. (2023). The influence of involvement and emotional valence on accuracy judgments and sharing intention of fake news. Journal of Cognitive Psychology, 35(8), 839–855. https://doi.org/10.1080/20445911.2023.2241699",abstract,fully,criterion_2,,focus on fake news
"Yeon Lee, N. (2023). Partisan online media use, political misinformation, and attitudes toward partisan issues. The Social Science Journal, 60(1), 1–14. https://doi.org/10.1080/03623319.2020.1728508",abstract,fully,criterion_2,,focus on misinformation
"Carnahan, D., Ulusoy, E., Barry, R., McGraw, J., Virtue, I., & Bergan, D. E. (2022). What should I believe? A conjoint analysis of the influence of message characteristics on belief in, perceived credibility of, and intent to share political posts. Journal of Communication, 72(5), 592–603. https://doi.org/10.1093/joc/jqac023",abstract,fully,criterion_2,criterion_5,focus on fake news and make them up
"Damstra, A., Vliegenthart, R., Boomgaarden, H., Glüer, K., Lindgren, E., Strömbäck, J., & Tsfati, Y. (2023). Knowledge and the News: An Investigation of the Relation Between News Use, News Avoidance, and the Presence of (Mis)beliefs. The International Journal of Press/Politics, 28(1), 29–48. https://doi.org/10.1177/19401612211031457",full text,fully,criterion_5,criterion_4.1,do not rely on news items (but statements that they write) and do not provide relevant summary stats
"Prasad, A. (2022). Anti-science Misinformation and Conspiracies: COVID–19, Post-truth, and Science & Technology Studies (STS). Science, Technology and Society, 27(1), 88–112. https://doi.org/10.1177/09717218211003413",abstract,fully,criterion_2,,focus on misinformation and no accuracy ratings
"Bragarnich, R. (2022). Observations on psychic vulnerability to media dissemination of false political-ideological messages (fake news). Journal of Analytical Psychology, 67(2), 455–467. https://doi.org/10.1111/1468-5922.12807",abstract,fully,criterion_2,,focus on misinformation and no accuracy ratings; also no data it seems
"Porter, E., Velez, Y., & Wood, T. J. (2022). Factual Corrections Eliminate False Beliefs About COVID-19 Vaccines. Public Opinion Quarterly, 86(3), 762–773. https://doi.org/10.1093/poq/nfac034",abstract,fully,criterion_2,,focus on misinformation
"Munger, K., Egan, P. J., Nagler, J., Ronen, J., & Tucker, J. (2022). Political Knowledge and Misinformation in the Era of Social Media: Evidence From the 2015 UK Election. British Journal of Political Science, 52(1), 107–127. https://doi.org/10.1017/S0007123420000198",abstract,fully,criterion_2,,focus on misinformation and do not let participants rate news items
"El-Masri, A., Riedl, M. J., & Woolley, S. (2022). Audio misinformation on WhatsApp: A case study from Lebanon. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-102",abstract,fully,criterion_2,,focus on misinformation and do not seem to include accuracy ratings
"Sheaffer, R., Gal, R., & Pansky, A. (2022). Resisting misinformation via discrepancy detection: Effects of an unaware suspicion cue. Memory, 30(6), 695–705. https://doi.org/10.1080/09658211.2021.1917618",abstract,fully,criterion_2,,not about news judgements
"Santini, R. M., Tucci, G., Salles, D., & de Almeida, A. R. D. (2021). Do You Believe in Fake After All? In Politics of Disinformation (pp. 49–66). John Wiley & Sons, Ltd. https://doi.org/10.1002/9781119743347.ch4",abstract,fully,criterion_2,,focus on disinformation
"Kraft, P. W., Davis, N. R., Davis, T., Heideman, A., Neumeyer, J. T., & Park, S. Y. (2022). Reliable Sources? Correcting Misinformation in Polarized Media Environments. American Politics Research, 50(1), 17–29. https://doi.org/10.1177/1532673X211041570",abstract,fully,criterion_2,,focus on disinformation
"Kraft, P. W., Davis, N. R., Davis, T., Heideman, A., Neumeyer, J. T., & Park, S. Y. (2022). Reliable Sources? Correcting Misinformation in Polarized Media Environments. American Politics Research, 50(1), 17–29. https://doi.org/10.1177/1532673X211041570",full text,fully,criterion_5,criterion_2,"made up their news articles, do not differentiate between true and false news"
"Autry, K. S., & Duarte, S. E. (2021). Correcting the unknown: Negated corrections may increase belief in misinformation. Applied Cognitive Psychology, 35(4), 960–975. https://doi.org/10.1002/acp.3823",abstract,fully,criterion_2,,focus on misinformation
"Ferrari, F., & Moruzzi, S. (2021). Enquiry and Normative Deviance: The Role of Fake News in Science DenialismThe Role of Fake News in Science Denialism (pp. 109–133). https://doi.org/10.1093/oso/9780198863977.003.0006",abstract,fully,criterion_1,criterion_2,"seems as if no data, no accuracy ratings"
"Yu, X., Wojcieszak, M., Lee, S., Casas, A., Azrout, R., & Gackowski, T. (2021). The (Null) Effects of Happiness on Affective Polarization, Conspiracy Endorsement, and Deep Fake Recognition: Evidence from Five Survey Experiments in Three Countries. Political Behavior, 43(3), 1265–1287. https://doi.org/10.1007/s11109-021-09701-1",abstract,fully,criterion_2,,focus on misinformation
"Motta, M. (2021). Republicans, Not Democrats, Are More Likely to Endorse Anti-Vaccine Misinformation. American Politics Research, 49(5), 428–438. https://doi.org/10.1177/1532673X211022639",abstract,fully,criterion_2,,not about news judgements
"Tabong, P. T.-N., & Segtub, M. (2021). Misconceptions, Misinformation and Politics of COVID-19 on Social Media: A Multi-Level Analysis in Ghana. Frontiers in Communication, 6. https://doi.org/10.3389/fcomm.2021.613794",abstract,fully,criterion_2,,"interview study, no data on accuracy judgements aobut precise news "
"Chon, M.-G., & Kim, K. H. (2021). Misinformation and Government Crisis Management in South Korea: Understanding Active Publics’ Belief in Misinformation about the Yemeni Refugee Issue and Its Effect on Active Communication Behaviors. Journal of International Crisis and Risk Communication Research, 4(3), Article 3.",abstract,fully,criterion_2,,focus on misinformation
"Kebede, Y., Birhanu, Z., Fufa, D., Yitayih, Y., Abafita, J., Belay, A., Jote, A., & Ambelu, A. (2020). Myths, beliefs, and perceptions about COVID-19 in Ethiopia: A need to address information gaps and enable combating efforts. PLOS ONE, 15(11), e0243024. https://doi.org/10.1371/journal.pone.0243024",abstract,fully,criterion_2,,focus on misinformation
"Tsang, S. J. (2019). News Credibility and Media Literacy in the Digital Age. In Handbook of Research on Media Literacy Research and Applications Across Disciplines (pp. 135–155). IGI Global. https://doi.org/10.4018/978-1-5225-9261-7.ch009",abstract,fully,criterion_1,,"book chapter, no original data"
"Grazulis, A., & Rogers, R. (2021). “Ridiculous and Untrue – FAKE NEWS!”: The Impact of Labeling Fake News. In Research Anthology on Fake News, Political Warfare, and Combatting the Spread of Misinformation (pp. 25–38). IGI Global. https://doi.org/10.4018/978-1-7998-7291-7.ch002",abstract,fully,criterion_2,,focus on misinformation
"Dumitru, E.-A. (2020). Testing Children and Adolescents’ Ability to Identify Fake News: A Combined Design of Quasi-Experiment and Group Discussions. Societies, 10(3), Article 3. https://doi.org/10.3390/soc10030071",abstract,fully,criterion_2,,"not about accuracy ratings of news items, but children's perceptions about the trustworthiness and credibility of websites"
"Nikolov, D., Flammini, A., & Menczer, F. (2021). Right and left, partisanship predicts (asymmetric) vulnerability to misinformation. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-55",abstract,fully,criterion_2,,"study is about sharing behavior, no accuracy ratings; focus on misinformation"
"Meer, T. G. L. A. van der, & Jin, Y. (2020). Seeking Formula for Misinformation Treatment in Public Health Crises: The Effects of Corrective Information Type and Source. Health Communication. https://www.tandfonline.com/doi/abs/10.1080/10410236.2019.1573295",abstract,fully,criterion_2,,focus on misinformation
"Khairunissa, K. (2020). University Students’ Ability in Evaluating Fake News on Social Media. Record and Library Journal, 6(2), Article 2. https://doi.org/10.20473/rlj.V6-I2.2020.136-145",full text,fully,criterion_4.1,,no relevant summary stats and extremely low N study
"Greenstein, M., & Franklin, N. (2020). Anger increases susceptibility to misinformation. Experimental Psychology.",abstract,fully,criterion_2,,focus on misinformation
"Rich, P. R., & Zaragoza, M. S. (2020). Correcting Misinformation in News Stories: An Investigation of Correction Timing and Correction Durability. Journal of Applied Research in Memory and Cognition, 9(3), 310–322. https://doi.org/10.1016/j.jarmac.2020.04.001",abstract,fully,criterion_2,,focus on misinformation
"Bode, L., Vraga, E. K., & Tully, M. (2020). Do the right thing: Tone may not affect correction of misinformation on social media. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-026",abstract,fully,criterion_2,,focus on misinformation
"Avram, M., Micallef, N., Patil, S., & Menczer, F. (2020). Exposure to social engagement metrics increases vulnerability to misinformation. arXiv Preprint arXiv:2005.04682.",abstract,fully,criterion_2,,focus on misinformation
"Bozkanat, E. (2021). Detecting Fake News on Social Media: The Case of Turkey. In Analyzing Global Social Media Consumption (pp. 49–67). IGI Global. https://doi.org/10.4018/978-1-7998-4718-2.ch004",abstract,fully,criterion_2,,"focus on misinformation, no accuracy judgements"
"Roozenbeek, J., & Van Der Linden, S. (2020). Breaking Harmony Square: A game that “inoculates” against political misinformation. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-47",full text,fully,criterion_2,,focus on misinformation
"Lovari, A. (2020). Spreading (Dis)Trust: Covid-19 Misinformation and Government Intervention in Italy. Media and Communication, 8(2), 458–461. https://doi.org/10.17645/mac.v8i2.3219",full text,fully,criterion_1,,"commentary, no original data"
"Hameleers, M. (2019). Susceptibility to mis- and disinformation and the effectiveness of fact-checkers: Can misinformation be effectively combated? Studies in Communication and Media, 8(4), 523–546. https://doi.org/10.5771/2192-4007-2019-4-523",abstract,fully,criterion_2,,focus on misinformation
"Agadjanian, A., Bakhru, N., Chi, V., Greenberg, D., Hollander, B., Hurt, A., Kind, J., Lu, R., Ma, A., Nyhan, B., Pham, D., Qian, M., Tan, M., Wang, C., Wasdahl, A., & Woodruff, A. (2019). Counting the Pinocchios: The effect of summary fact-checking data on perceived accuracy and favorability of politicians. Research & Politics, 6(3), 2053168019870351. https://doi.org/10.1177/2053168019870351",abstract,fully,criterion_2,,focus on misinformation
"Aird, M. J., Ecker, U. K. H., Swire, B., Berinsky, A. J., & Lewandowsky, S. (2018). Does truth matter to voters? The effects of correcting political misinformation in an Australian sample. Royal Society Open Science, 5(12), 180593. https://doi.org/10.1098/rsos.180593",abstract,fully,criterion_2,,focus on misinformation and no accuracy judgements
"Tiwari, A. S. (2011). Role of arousal states in susceptibility to accept misinformation. Europe’s Journal of Psychology, 7(3), Article 3. https://doi.org/10.5964/ejop.v7i3.147",abstract,fully,criterion_2,,not about news judgements
"Dixon, G. N., McKeever, B. W., Holton, A. E., Clarke, C., & Eosco, G. (2015). The Power of a Picture: Overcoming Scientific Misinformation by Communicating Weight-of-Evidence Information with Visual Exemplars. Journal of Communication, 65(4), 639–659. https://doi.org/10.1111/jcom.12159",abstract,fully,criterion_2,,"focus on misbeliefs, no direct accuracy judgements of true and false items"
"Nyhan, B., & Reifler, J. (2010). When Corrections Fail: The Persistence of Political Misperceptions. Political Behavior, 32(2), 303–330. https://doi.org/10.1007/s11109-010-9112-2",abstract,fully,criterion_2,criterion_5,focus on misinformation; made their items up
"Ecker, U. K. H., Lewandowsky, S., Fenton, O., & Martin, K. (2014). Do people keep believing because they want to? Preexisting attitudes and the continued influence of misinformation. Memory & Cognition, 42(2), 292–304. https://doi.org/10.3758/s13421-013-0358-x",abstract,fully,criterion_2,,"focus on misbeliefs, no direct accuracy judgements of true and false items"
"Horry, R., Colton, L.-M., & Williamson, P. (2014). Confidence–accuracy resolution in the misinformation paradigm is influenced by the availability of source cues. Acta Psychologica, 151, 164–173. https://doi.org/10.1016/j.actpsy.2014.06.006",abstract,fully,criterion_2,criterion_5,"not on news judgments, a made up crime video is the only stimulus"
"Weeks, B. E. (2015). Emotions, Partisanship, and Misperceptions: How Anger and Anxiety Moderate the Effect of Partisan Bias on Susceptibility to Political Misinformation. Journal of Communication, 65(4), 699–719. https://doi.org/10.1111/jcom.12164",abstract,fully,criterion_2,,focus on misinformation
"Burton, R. F. (2002). Misinformation, partial knowledge and guessing in true/false tests. Medical Education, 36(9), 805–811.",abstract,fully,criterion_2,,"not about news judgements, but medical students' test scores"
"Kaufman, R. A., Haupt, M. R., & Dow, S. P. (2022). Who’s in the Crowd Matters: Cognitive Factors and Beliefs Predict Misinformation Assessment Accuracy. Proceedings of the ACM on Human-Computer Interaction, 6(CSCW2), 553:1-553:18. https://doi.org/10.1145/3555611",full text,fully,criterion_4.1,,no relevant summary stats
"Kim, S., Capasso, A., Ali, S. H., Headley, T., DiClemente, R. J., & Tozan, Y. (2022). What predicts people’s belief in COVID-19 misinformation? A retrospective study using a nationwide online survey among adults residing in the United States. BMC Public Health, 22(1), 2114. https://doi.org/10.1186/s12889-022-14431-y",full text,fully,criterion_2,,no accuracy ratings on news items